"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2018-1-2";"3:00PM";"45F";"37F";"76%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"MostlyCloudy"
"2018-1-2";"3:30PM";"45F";"37F";"76%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-2";"4:00PM";"45F";"37F";"76%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-2";"4:30PM";"43F";"37F";"81%";"S";"2mph";"0mph";"28.93in";"0.0in";"PartlyCloudy"
"2018-1-2";"5:00PM";"41F";"37F";"87%";"ENE";"1mph";"0mph";"28.93in";"0.0in";"Mist"
"2018-1-2";"5:30PM";"39F";"36F";"87%";"E";"1mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-2";"6:00PM";"37F";"36F";"93%";"VAR";"1mph";"0mph";"28.93in";"0.0in";"PartlyCloudy"
"2018-1-2";"6:30PM";"37F";"34F";"87%";"VAR";"2mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-2";"7:00PM";"37F";"34F";"87%";"SE";"2mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-2";"7:30PM";"37F";"34F";"87%";"NNE";"7mph";"0mph";"28.93in";"0.0in";"Mist"
"2018-1-2";"8:00PM";"37F";"34F";"87%";"E";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"8:30PM";"34F";"32F";"93%";"SSW";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"9:00PM";"36F";"34F";"93%";"NNW";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"9:30PM";"36F";"34F";"93%";"CALM";"0mph";"0mph";"28.99in";"0.0in";"Mist"
"2018-1-2";"10:00PM";"36F";"36F";"100%";"E";"3mph";"0mph";"28.99in";"0.0in";"Mist"
"2018-1-2";"10:30PM";"39F";"37F";"93%";"SE";"6mph";"0mph";"29.02in";"0.0in";"MostlyCloudy"
"2018-1-2";"11:00PM";"43F";"37F";"81%";"NE";"5mph";"0mph";"29.02in";"0.0in";"LightRain"
"2018-1-2";"11:30PM";"45F";"36F";"71%";"NNW";"6mph";"0mph";"29.05in";"0.0in";"LightRain"
"2018-1-2";"12:00AM";"45F";"36F";"71%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Cloudy"
"2018-1-2";"12:30AM";"45F";"36F";"71%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Cloudy"
"2018-1-3";"1:00AM";"43F";"36F";"76%";"N";"5mph";"0mph";"29.05in";"0.0in";"Cloudy"
"2018-1-3";"1:30AM";"43F";"36F";"76%";"NNE";"5mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"2:00AM";"41F";"34F";"76%";"NNW";"2mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"2:30AM";"43F";"34F";"70%";"NNW";"6mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"3:00AM";"41F";"36F";"81%";"NNE";"7mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"3:30AM";"41F";"34F";"76%";"NNW";"2mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"4:30AM";"39F";"34F";"81%";"NNW";"2mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"5:00AM";"39F";"34F";"81%";"ENE";"2mph";"0mph";"29.08in";"0.0in";"Cloudy"
"2018-1-3";"5:30AM";"39F";"34F";"81%";"N";"2mph";"0mph";"29.10in";"0.0in";"Cloudy"
"2018-1-3";"6:00AM";"37F";"34F";"87%";"ENE";"2mph";"0mph";"29.10in";"0.0in";"MostlyCloudy"
"2018-1-3";"6:30AM";"37F";"32F";"81%";"ENE";"2mph";"0mph";"29.10in";"0.0in";"MostlyCloudy"
"2018-1-3";"7:00AM";"36F";"32F";"87%";"N";"1mph";"0mph";"29.10in";"0.0in";"MostlyCloudy"
"2018-1-3";"7:30AM";"36F";"32F";"87%";"WSW";"2mph";"0mph";"29.10in";"0.0in";"MostlyCloudy"
"2018-1-3";"8:00AM";"37F";"32F";"81%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"PartlyCloudy"
"2018-1-3";"8:30AM";"34F";"32F";"93%";"VAR";"1mph";"0mph";"29.10in";"0.0in";"PartlyCloudy"
"2018-1-3";"9:00AM";"36F";"30F";"81%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"9:30AM";"41F";"32F";"70%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"10:00AM";"45F";"34F";"66%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"10:30AM";"45F";"34F";"66%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"11:00AM";"48F";"32F";"54%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"11:30AM";"48F";"32F";"54%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"12:00PM";"48F";"32F";"54%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-3";"12:30PM";"48F";"30F";"50%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-3";"1:00PM";"50F";"30F";"47%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-3";"1:30PM";"48F";"30F";"50%";"ENE";"5mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-3";"2:00PM";"50F";"28F";"43%";"E";"2mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-3";"2:30PM";"50F";"28F";"43%";"SSW";"2mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-3";"3:00PM";"50F";"28F";"43%";"E";"2mph";"0mph";"28.99in";"0.0in";"Fair"
"2018-1-3";"3:30PM";"50F";"28F";"43%";"NE";"3mph";"0mph";"28.99in";"0.0in";"Fair"
"2018-1-3";"5:00PM";"45F";"30F";"57%";"ESE";"5mph";"0mph";"28.96in";"0.0in";"Fair"
"2018-1-3";"5:30PM";"41F";"30F";"65%";"E";"6mph";"0mph";"28.96in";"0.0in";"Fair"
"2018-1-3";"6:00PM";"39F";"28F";"65%";"E";"6mph";"0mph";"28.96in";"0.0in";"Fair"
"2018-1-3";"6:30PM";"37F";"28F";"70%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-3";"7:00PM";"36F";"28F";"75%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"Fair"
"2018-1-3";"7:30PM";"39F";"28F";"65%";"CALM";"0mph";"0mph";"28.96in";"0.0in";"PartlyCloudy"
"2018-1-3";"8:00PM";"37F";"30F";"75%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"PartlyCloudy"
"2018-1-3";"8:30PM";"37F";"30F";"75%";"ENE";"2mph";"0mph";"28.93in";"0.0in";"PartlyCloudy"
"2018-1-3";"9:00PM";"37F";"30F";"75%";"NNE";"8mph";"0mph";"28.93in";"0.0in";"MostlyCloudy"
"2018-1-3";"9:30PM";"39F";"30F";"70%";"NE";"2mph";"0mph";"28.90in";"0.0in";"Fair"
"2018-1-3";"10:00PM";"39F";"30F";"70%";"NNE";"7mph";"0mph";"28.90in";"0.0in";"Fair"
"2018-1-3";"10:30PM";"37F";"30F";"75%";"N";"7mph";"0mph";"28.90in";"0.0in";"Fair"
"2018-1-3";"11:00PM";"34F";"30F";"87%";"SSE";"3mph";"0mph";"28.90in";"0.0in";"Fair"
"2018-1-3";"11:30PM";"34F";"30F";"87%";"ESE";"1mph";"0mph";"28.87in";"0.0in";"MostlyCloudy"
"2018-1-3";"12:00AM";"36F";"30F";"81%";"NNW";"1mph";"0mph";"28.87in";"0.0in";"Cloudy"
"2018-1-3";"12:30AM";"36F";"32F";"87%";"SE";"2mph";"0mph";"28.87in";"0.0in";"Cloudy"
"2018-1-4";"1:00AM";"36F";"32F";"87%";"VAR";"2mph";"0mph";"28.90in";"0.0in";"LightDrizzle"
"2018-1-4";"1:30AM";"36F";"32F";"87%";"SSE";"5mph";"0mph";"28.90in";"0.0in";"LightRain"
"2018-1-4";"2:00AM";"36F";"32F";"87%";"ENE";"2mph";"0mph";"28.90in";"0.0in";"LightRain"
"2018-1-4";"2:30AM";"37F";"34F";"87%";"NNE";"2mph";"0mph";"28.93in";"0.0in";"Rain"
"2018-1-4";"3:00AM";"36F";"34F";"93%";"S";"2mph";"0mph";"28.93in";"0.0in";"LightRain"
"2018-1-4";"3:30AM";"36F";"34F";"93%";"S";"2mph";"0mph";"28.90in";"0.0in";"LightRain"
