"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2015-12-2";"1:00PM";"46F";"39F";"76%";"VAR";"2mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"1:30PM";"48F";"39F";"71%";"NNE";"1mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"2:00PM";"52F";"41F";"67%";"NNW";"2mph";"0mph";"29.53in";"0.0in";"Fair"
"2015-12-2";"2:30PM";"54F";"43F";"67%";"WNW";"1mph";"0mph";"29.51in";"0.0in";"Fair"
"2015-12-2";"3:00PM";"55F";"43F";"63%";"VAR";"1mph";"0mph";"29.51in";"0.0in";"Fair"
"2015-12-2";"3:30PM";"55F";"43F";"63%";"SW";"3mph";"0mph";"29.51in";"0.0in";"Fair"
"2015-12-2";"4:00PM";"54F";"43F";"67%";"E";"2mph";"0mph";"29.51in";"0.0in";"Fair"
"2015-12-2";"4:30PM";"54F";"41F";"62%";"NE";"2mph";"0mph";"29.51in";"0.0in";"Fair"
"2015-12-2";"5:00PM";"52F";"41F";"67%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"PartlyCloudy"
"2015-12-2";"5:30PM";"50F";"43F";"76%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"PartlyCloudy"
"2015-12-2";"6:00PM";"50F";"43F";"76%";"NNE";"5mph";"0mph";"29.51in";"0.0in";"MostlyCloudy"
"2015-12-2";"6:30PM";"50F";"43F";"76%";"NNE";"8mph";"0mph";"29.51in";"0.0in";"MostlyCloudy"
"2015-12-2";"7:00PM";"50F";"43F";"76%";"N";"3mph";"0mph";"29.53in";"0.0in";"MostlyCloudy"
"2015-12-2";"7:30PM";"50F";"43F";"76%";"WSW";"2mph";"0mph";"29.53in";"0.0in";"MostlyCloudy"
"2015-12-2";"8:00PM";"50F";"41F";"71%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"MostlyCloudy"
"2015-12-2";"8:30PM";"48F";"41F";"76%";"NE";"3mph";"0mph";"29.53in";"0.0in";"MostlyCloudy"
"2015-12-2";"9:00PM";"48F";"41F";"76%";"NNE";"2mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-2";"9:30PM";"46F";"41F";"81%";"N";"3mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-2";"10:00PM";"46F";"41F";"81%";"W";"2mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-2";"10:30PM";"45F";"41F";"87%";"NE";"5mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-2";"11:00PM";"45F";"41F";"87%";"E";"3mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-2";"11:30PM";"46F";"41F";"81%";"SW";"2mph";"0mph";"29.56in";"0.0in";"Cloudy"
"2015-12-2";"12:00AM";"45F";"41F";"87%";"WSW";"1mph";"0mph";"29.56in";"0.0in";"Cloudy"
"2015-12-2";"12:30AM";"45F";"41F";"87%";"VAR";"1mph";"0mph";"29.56in";"0.0in";"Cloudy"
"2015-12-3";"1:00AM";"43F";"41F";"93%";"SW";"3mph";"0mph";"29.56in";"0.0in";"MostlyCloudy"
"2015-12-3";"1:30AM";"43F";"39F";"87%";"VAR";"1mph";"0mph";"29.56in";"0.0in";"PartlyCloudy"
"2015-12-3";"2:00AM";"39F";"39F";"100%";"VAR";"1mph";"0mph";"29.56in";"0.0in";"Fair"
"2015-12-3";"2:30AM";"39F";"37F";"93%";"NNE";"5mph";"0mph";"29.56in";"0.0in";"PartlyCloudy"
"2015-12-3";"3:00AM";"43F";"39F";"87%";"NE";"5mph";"0mph";"29.59in";"0.0in";"PartlyCloudy"
"2015-12-3";"3:30AM";"46F";"41F";"81%";"VAR";"1mph";"0mph";"29.59in";"0.0in";"MostlyCloudy"
"2015-12-3";"4:00AM";"43F";"39F";"87%";"NE";"1mph";"0mph";"29.59in";"0.0in";"MostlyCloudy"
"2015-12-3";"4:30AM";"41F";"37F";"87%";"NW";"2mph";"0mph";"29.59in";"0.0in";"MostlyCloudy"
"2015-12-3";"5:00AM";"39F";"37F";"93%";"NNW";"3mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"5:30AM";"39F";"37F";"93%";"SSE";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"6:00AM";"37F";"36F";"93%";"VAR";"2mph";"0mph";"29.59in";"0.0in";"PartlyCloudy"
"2015-12-3";"6:30AM";"37F";"36F";"93%";"SSE";"3mph";"0mph";"29.59in";"0.0in";"MostlyCloudy"
"2015-12-3";"7:00AM";"39F";"37F";"93%";"SE";"1mph";"0mph";"29.62in";"0.0in";"MostlyCloudy"
"2015-12-3";"7:30AM";"37F";"36F";"93%";"WNW";"2mph";"0mph";"29.62in";"0.0in";"PartlyCloudy"
"2015-12-3";"8:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.62in";"0.0in";"MostlyCloudy"
"2015-12-3";"8:30AM";"36F";"36F";"100%";"W";"1mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"9:00AM";"39F";"37F";"93%";"NW";"1mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"9:30AM";"43F";"41F";"93%";"CALM";"0mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"10:00AM";"45F";"39F";"81%";"CALM";"0mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"10:30AM";"46F";"39F";"76%";"CALM";"0mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"11:00AM";"48F";"41F";"76%";"S";"3mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"11:30AM";"50F";"41F";"71%";"CALM";"0mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"12:00PM";"52F";"43F";"71%";"WNW";"2mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"12:30PM";"54F";"43F";"67%";"SW";"2mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"1:00PM";"55F";"45F";"67%";"W";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"1:30PM";"57F";"43F";"59%";"VAR";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"2:00PM";"59F";"43F";"55%";"WNW";"1mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"2:30PM";"61F";"41F";"48%";"CALM";"0mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"3:00PM";"61F";"41F";"48%";"CALM";"0mph";"0mph";"29.56in";"0.0in";"Fair"
"2015-12-3";"3:30PM";"63F";"43F";"48%";"CALM";"0mph";"0mph";"29.56in";"0.0in";"Fair"
"2015-12-3";"4:00PM";"61F";"41F";"48%";"NNE";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"4:30PM";"59F";"41F";"51%";"NE";"5mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"5:00PM";"55F";"41F";"58%";"ENE";"5mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"5:30PM";"50F";"41F";"71%";"SSE";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"6:00PM";"48F";"39F";"71%";"ESE";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"6:30PM";"48F";"41F";"76%";"S";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"7:00PM";"45F";"39F";"81%";"SE";"2mph";"0mph";"29.59in";"0.0in";"Fair"
"2015-12-3";"7:30PM";"41F";"36F";"81%";"NNE";"2mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"8:00PM";"41F";"37F";"87%";"NE";"2mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"8:30PM";"39F";"36F";"87%";"CALM";"0mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"9:00PM";"39F";"36F";"87%";"E";"2mph";"0mph";"29.62in";"0.0in";"Fair"
"2015-12-3";"9:30PM";"39F";"36F";"87%";"E";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"10:00PM";"39F";"36F";"87%";"ENE";"3mph";"0mph";"29.65in";"0.0in";"Fair"
